alþjóðlegur	"{""translations"":[{""meaning"":""international"",""usage"":null}]}"
appelsínugulur	"{""translations"":[{""meaning"":""orange, orange-colored/(UK) coloured"",""usage"":null}]}"
auðveldur	"{""translations"":[{""meaning"":""easy, simple"",""usage"":null}]}"
bjartur	"{""translations"":[{""meaning"":""bright, clear, shining"",""usage"":null}]}"
bleikur	"{""translations"":[{""meaning"":""pink, pale"",""usage"":null}]}"
blár	"{""translations"":[{""meaning"":""blue"",""usage"":null},{""meaning"":""unadulterated, pure"",""usage"":""eintómur""},{""meaning"":""be unaffected, natural"",""usage"":null}]}"
brúnn	"{""translations"":[{""meaning"":""brown"",""usage"":null}]}"
dapur	"{""translations"":[{""meaning"":""sad, depressed"",""usage"":""hryggur""},{""meaning"":""poor, inadequate"",""usage"":""lélegur""}]}"
dimmur	"{""translations"":[{""meaning"":""dark"",""usage"":""myrkur""},{""meaning"":""deep"",""usage"":""um rödd""},{""meaning"":""grave"",""usage"":""í málfr""}]}"
duglegur	"{""translations"":[{""meaning"":""energetic, hard-working, efficient"",""usage"":null}]}"
erfiður	"{""translations"":[{""meaning"":""difficult, hard"",""usage"":""torveldur""},{""meaning"":""wearying, fatiguing"",""usage"":""þreytandi""},{""meaning"":""troublesome"",""usage"":""ódæll""},{""meaning"":""stiff-necked, unwielding"",""usage"":""ósveigjanlegur""}]}"
fallegur	"{""translations"":[{""meaning"":""beautiful"",""usage"":null}]}"
fjólublár	"{""translations"":[{""meaning"":""violet"",""usage"":null}]}"
fjölbreyttur	"{""translations"":[{""meaning"":""varied, many-sided"",""usage"":null}]}"
flestur	"{""translations"":[{""meaning"":""many, a lot"",""usage"":""um mergð""},{""meaning"":""much, many things"",""usage"":""um mörg atriði""}]}"
frekur	"{""translations"":[{""meaning"":""pushy, forward"",""usage"":null}]}"
frábær	"{""translations"":[{""meaning"":""distinguished, excellent"",""usage"":null}]}"
frægur	"{""translations"":[{""meaning"":""famous"",""usage"":null}]}"
fróður	"{""translations"":[{""meaning"":""knowledgeable, learned, erudite, well-read"",""usage"":null}]}"
fyndinn	"{""translations"":[{""meaning"":""witty, funny"",""usage"":null}]}"
félagslyndur	"{""translations"":[{""meaning"":""sociable, gregarious"",""usage"":null}]}"
gamall	"{""translations"":[{""meaning"":""old, ancient"",""usage"":null}]}"
glaður	"{""translations"":[{""meaning"":""glad, happy, cheerful"",""usage"":""kátur""},{""meaning"":""bright"",""usage"":""bjartur""}]}"
glæsilegur	"{""translations"":[{""meaning"":""splendid, magnificent, elegant"",""usage"":null}]}"
grár	"{""translations"":[{""meaning"":""grey"",""usage"":null},{""meaning"":""white horse"",""usage"":null},{""meaning"":""deal harshly with sby"",""usage"":null}]}"
grænn	"{""translations"":[{""meaning"":""green"",""usage"":null}]}"
gulur	"{""translations"":[{""meaning"":""yellow"",""usage"":null}]}"
gáfaður	"{""translations"":[{""meaning"":""intelligent"",""usage"":null}]}"
hamingjusamur	"{""translations"":[{""meaning"":""happy"",""usage"":null}]}"
heimsfrægur	"{""translations"":[{""meaning"":""world-famous"",""usage"":null}]}"
heimskur	"{""translations"":[{""meaning"":""stupid"",""usage"":null}]}"
heitur	"{""translations"":[{""meaning"":""hot, warm"",""usage"":null}]}"
hlýr	"{""translations"":[{""meaning"":""warm"",""usage"":null}]}"
hreinn	"{""translations"":[{""meaning"":""clean"",""usage"":null},{""meaning"":""pure"",""usage"":""óblandaður""},{""meaning"":""it is not completely clear"",""usage"":null}]}"
hress	"{""translations"":[{""meaning"":""fit, well"",""usage"":""heilsugóður""},{""meaning"":""in high spirits, in good form"",""usage"":""kátur""}]}"
hvítur	"{""translations"":[{""meaning"":""white"",""usage"":null}]}"
hæfileikaríkur	"{""translations"":[{""meaning"":""talented"",""usage"":null}]}"
hægur	"{""translations"":[{""meaning"":""easy, convenient"",""usage"":""auðveldur""},{""meaning"":""possible"",""usage"":""mögulegur""},{""meaning"":""calm, quiet, slow"",""usage"":""stilltur""}]}"
kaldur	"{""translations"":[{""meaning"":""cold"",""usage"":null}]}"
kveðinn	"{""translations"":[{""meaning"":""say"",""usage"":""segja""},{""meaning"":""compose"",""usage"":""yrkja""},{""meaning"":""chant, intone"",""usage"":""syngja""},{""meaning"":""say of oneself"",""usage"":null},{""meaning"":""lay down, pronounce"",""usage"":""phrases""}]}"
kvíðinn	"{""translations"":[{""meaning"":""fearful, anxious, apprehensive"",""usage"":null}]}"
kátur	"{""translations"":[{""meaning"":""cheerful, merry, jolly"",""usage"":null}]}"
latur	"{""translations"":[{""meaning"":""lazy"",""usage"":null}]}"
leiðinlegur	"{""translations"":[{""meaning"":""dull, boring, tedious"",""usage"":""þreytandi""},{""meaning"":""sad"",""usage"":""sorglegur""}]}"
ljótur	"{""translations"":[{""meaning"":""ugly"",""usage"":""ófagur""},{""meaning"":""bad"",""usage"":""slæmur""}]}"
léttur	"{""translations"":[{""meaning"":""light"",""usage"":""ekki þungur""},{""meaning"":""easy, light"",""usage"":""ekki erfiður""},{""meaning"":""light, nimble"",""usage"":""léttfær""},{""meaning"":""cheerful, merry"",""usage"":""glaður""}]}"
lítill	"{""translations"":[{""meaning"":""small, short"",""usage"":""smár""},{""meaning"":""little, insignificant"",""usage"":""óverulegur""},{""meaning"":""short"",""usage"":""um tíma""},{""meaning"":""less than average"",""usage"":null},{""meaning"":""at least"",""usage"":null}]}"
margur	"{""translations"":[{""meaning"":""many, a lot"",""usage"":""um mergð""},{""meaning"":""much, many things"",""usage"":""um mörg atriði""}]}"
nógur	"{""translations"":[{""meaning"":""enough, sufficient, satisfactory"",""usage"":null}]}"
nýlegur	"{""translations"":[{""meaning"":""almost new, recent"",""usage"":null}]}"
nýr	"{""translations"":[{""meaning"":""new, fresh"",""usage"":null}]}"
rauður	"{""translations"":[{""meaning"":""red"",""usage"":null}]}"
rólegur	"{""translations"":[{""meaning"":""calm, quiet, tranquil"",""usage"":""stilltur""},{""meaning"":""slow"",""usage"":""hægur""}]}"
saddur	"{""translations"":[{""meaning"":""full, replete"",""usage"":null}]}"
skemmtilegur	"{""translations"":[{""meaning"":""amusing, funny"",""usage"":""fyndinn""},{""meaning"":""entertaining, diverting"",""usage"":""sem veitir skemmtun""},{""meaning"":""interesting"",""usage"":""forvitnilegur""}]}"
skýr	"{""translations"":[{""meaning"":""clear, distinct"",""usage"":""greinilegur""},{""meaning"":""lucid, readily-intelligible"",""usage"":""auðskilinn""},{""meaning"":""sharp, quick, intelligent"",""usage"":""greindur""}]}"
sorglegur	"{""translations"":[{""meaning"":""tragic, sad"",""usage"":""harmrænn""},{""meaning"":""sad, distressed"",""usage"":""ókátur""}]}"
spennandi	"{""translations"":[{""meaning"":""thrilling, exciting"",""usage"":null}]}"
spenntur	"{""translations"":[{""meaning"":""expectant, eager, anxious"",""usage"":""eftirvæntingarfullur""},{""meaning"":""tense, nervous, keyed up"",""usage"":""taugastrekktur""},{""meaning"":""be keen on sth, be excited about sth"",""usage"":null}]}"
stórkostlegur	"{""translations"":[{""meaning"":""great, magnificent, splendid"",""usage"":null}]}"
svangur	"{""translations"":[{""meaning"":""hungry"",""usage"":null}]}"
svartur	"{""translations"":[{""meaning"":""black"",""usage"":null}]}"
svolítill	"{""translations"":[{""meaning"":""small, little"",""usage"":""lítill""},{""meaning"":""a little"",""usage"":""dálítið""}]}"
sérstakur	"{""translations"":[{""meaning"":""separate"",""usage"":""einn sér""},{""meaning"":""particular"",""usage"":""frábrugðinn""},{""meaning"":""special, unusual"",""usage"":""óvenjulegur""}]}"
tilbúinn	"{""translations"":[{""meaning"":""ready"",""usage"":""reiðubúinn""},{""meaning"":""prepared"",""usage"":""viðbúinn""},{""meaning"":""fictional, fictitious"",""usage"":""upploginn""},{""meaning"":""ready-made"",""usage"":""fyrirframgerður""},{""meaning"":""artificial"",""usage"":""unninn af mönnum""}]}"
ungur	"{""translations"":[{""meaning"":""young"",""usage"":null}]}"
vinsæll	"{""translations"":[{""meaning"":""popular"",""usage"":null}]}"
vondur	"{""translations"":[{""meaning"":""bad, evil"",""usage"":""illur""},{""meaning"":""angry, mad"",""usage"":""reiður""},{""meaning"":""poor, bad, in bad shape"",""usage"":""lélegur""},{""meaning"":""he is a very bad man"",""usage"":null}]}"
yndislegur	"{""translations"":[{""meaning"":""wonderful, marvellous"",""usage"":null}]}"
áhugasamur	"{""translations"":[{""meaning"":""interested, keen"",""usage"":null}]}"
ánægjulegur	"{""translations"":[{""meaning"":""enjoyable, pleasant, delightful"",""usage"":null}]}"
ótrúlegur	"{""translations"":[{""meaning"":""unbelievable"",""usage"":null}]}"
óvinsæll	"{""translations"":[{""meaning"":""unpopular, disliked"",""usage"":null}]}"
óþekktur	"{""translations"":[{""meaning"":""unknown"",""usage"":null}]}"
örugglega	"{""translations"":[{""meaning"":""certainly, definitely"",""usage"":""áreiðanlega""},{""meaning"":""with assurance, securely"",""usage"":""af öryggi""}]}"
þreyttur	"{""translations"":[{""meaning"":""tired, exhausted, fatigued"",""usage"":null}]}"
þröngur	"{""translations"":[{""meaning"":""crowded, confined"",""usage"":""rúmlítill""},{""meaning"":""narrow"",""usage"":""krappur""},{""meaning"":""difficult"",""usage"":""erfiður""},{""meaning"":""close-fitting"",""usage"":""aðskorinn""}]}"
þunglyndur	"{""translations"":[{""meaning"":""sad, melancholy, depressed"",""usage"":null}]}"
þyrstur	"{""translations"":[{""meaning"":""thirsty"",""usage"":null}]}"
